PRODUCT,HOME PAGE,PRODUCT CATEGORY,PRODUCT DESCRIPTION,AFFILIATED GITHUB REPOSITORIES
Opentrons,https://opentrons.com/,Laboratory and Measuring and Observing and Testing Equipment,pipetting robot,Opentrons/otone_hardware;Opentrons/opentrons-modules;Opentrons/Smoothieboard
OpenWaterbike,http://www.openwaterbike.com/,Sports and Recreational Equipment and Supplies and Accessories,pedal boat,
orbSWARM,http://orbswarm.com/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,fleet of autonomous spherical robots,
OScar,https://en.wikipedia.org/wiki/OScar,Commercial and Military and Private Vehicles and their Accessories and Components,car,
OSE LifeTrac 5,http://opensourceecology.org/wiki/LifeTrac_5,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,tractor,
osloom,http://www.osloom.org/,Industrial Manufacturing and Processing Machinery and Accessories,jacquard loom,
OSVehicle - Tabby evo,https://www.osvehicle.com/,Commercial and Military and Private Vehicles and their Accessories and Components,car,
OSVR-HDK2,http://www.osvr.org/hdk2.html,Information Technology Broadcasting and Telecommunications,Head-mounted display for virtual reality,OSVR/OSVR-HDK;OSVR/OSVR-Hardware-Accessories
OSWash,http://www.oswash.org/,Domestic Appliances and Supplies and Consumer Electronic Products,washing machine,
Pandora,http://pandorawiki.org/Main_Page,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,game console,
Parabolic solar hot water heater,http://www.appropedia.org/Anisa_Foundation_parabolic_solar_hot_water_heater_des…,Distribution and Conditioning Systems and Equipment and Components,Parabolic solar hot water heater,
Parabolic solar hot water heater,http://www.appropedia.org/Anisa_Foundation_parabolic_solar_hot_water_heater,Distribution and Conditioning Systems and Equipment and Components,hot water heater,
Photometric System for Enzymatic Nitrate Quantification,http://www.appropedia.org/Open-Source_Photometric_System_for_Enzymatic_Nitrate_…,Laboratory and Measuring and Observing and Testing Equipment,enzymatic nitrate quantification system,
piccolo,http://piccolo.cc/,Industrial Manufacturing and Processing Machinery and Accessories,pocket-sized CNC-bot,DiatomStudio/Piccolo
Pico Cross Flow,http://www.picocrossflow.com/,Power Generation and Distribution Machinery and Accessories,cross flow turbine,
Pigott wind turbine,http://scoraigwind.co.uk/,Power Generation and Distribution Machinery and Accessories,Wind Turbine,
PiKon,https://pikonic.com/,Printing and Photographic and Audio and Visual Equipment and Supplies,Telescope,
Pisteur solaire - Entropie,https://www.asso-entropie.fr/fr/,Domestic Appliances and Supplies and Consumer Electronic Products,solar tracker,
Plan B,https://ytec3d.com/plan-b/,Industrial Manufacturing and Processing Machinery and Accessories,3D printer,
plants & machines,http://www.plantsandmachines.de/,Farming and Fishing and Forestry and Wildlife Machinery and Accessories,robotic indoor garden,
Plen,https://plen.jp/,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,humanoid robot,plenprojectcompany/PLEN2;plenprojectcompany/plen-RS485Board;plenprojectcompany/plen-EdisonBoard;plenprojectcompany/plen-3DModel_Fusion360;plenprojectcompany/plen-ControlBoard;plenprojectcompany/plen-HeadBoard
Pointcast,https://github.com/Safecast/General/wiki/Safecast-Devices,Laboratory and Measuring and Observing and Testing Equipment,sensor device for environmental parameters,Safecast/Pointcast
POM,https://www.osvehicle.com/renaultpomsignup/,Commercial and Military and Private Vehicles and their Accessories and Components,mass vehicle,
